candidate_id,is_active,unique_key,is_tp,is_fp,is_ring,is_funnel,is_rung_duplicate,classification_source
LV-FECNDITATS2-0200cm-r001,True,LV-FECNDITATS2-0200cm-r001,True,False,False,False,False,unique_accounting_2026-09-07.json
LV-FECNDITATS2-0400cm-r001,False,LV-FECNDITATS2-0200cm-r001,True,False,False,False,False,unique_accounting_2026-09-07.json
LV-FECNDITATS2-0500cm-r001,False,LV-FECNDITATS2-0200cm-r001,True,False,False,False,False,unique_accounting_2026-09-07.json
LV-INGENIIPIT-0200cm-r001,True,LV-INGENIIPIT-0200cm-r001,True,False,False,False,False,unique_accounting_2026-09-07.json
LV-INGENIIPIT-0200cm-r002,True,LV-INGENIIPIT-0200cm-r002,False,False,True,False,False,unique_accounting_2026-09-07.json
LV-INGENIIPIT-0200cm-r003,True,LV-INGENIIPIT-0200cm-r003,False,False,True,False,False,unique_accounting_2026-09-07.json
LV-INGENIIPIT-0200cm-r004,True,LV-INGENIIPIT-0200cm-r004,False,False,True,False,False,unique_accounting_2026-09-07.json
LV-INGENIIPIT-0200cm-r005,True,LV-INGENIIPIT-0200cm-r005,False,False,True,False,False,unique_accounting_2026-09-07.json
LV-INGENIIPIT-0200cm-r006,True,LV-INGENIIPIT-0200cm-r006,False,False,True,False,False,unique_accounting_2026-09-07.json
LV-INGENIIPIT-0200cm-r007,True,LV-INGENIIPIT-0200cm-r007,False,False,True,False,False,unique_accounting_2026-09-07.json
LV-INGENIIPIT-0200cm-r008,True,LV-INGENIIPIT-0200cm-r008,False,False,True,False,False,unique_accounting_2026-09-07.json
LV-INGENIIPIT-0400cm-r001,False,LV-INGENIIPIT-0200cm-r001,True,False,False,False,False,unique_accounting_2026-09-07.json
LV-INGENIIPIT-0400cm-r002,False,LV-INGENIIPIT-0200cm-r001,False,False,True,False,False,unique_accounting_2026-09-07.json
LV-INGENIIPIT-0400cm-r003,True,LV-INGENIIPIT-0400cm-r003,False,False,True,False,False,unique_accounting_2026-09-07.json
LV-INGENIIPIT-0400cm-r004,False,LV-INGENIIPIT-0200cm-r001,False,False,True,False,False,unique_accounting_2026-09-07.json
LV-INGENIIPIT-0400cm-r005,False,LV-INGENIIPIT-0200cm-r008,False,False,True,False,False,unique_accounting_2026-09-07.json
LV-INGENIIPIT-0400cm-r006,True,LV-INGENIIPIT-0400cm-r006,False,False,True,False,False,unique_accounting_2026-09-07.json
LV-INGENIIPIT-0400cm-r007,False,LV-INGENIIPIT-0200cm-r004,False,False,True,False,False,unique_accounting_2026-09-07.json
LV-INGENIIPIT-0400cm-r008,False,LV-INGENIIPIT-0200cm-r005,False,False,True,False,False,unique_accounting_2026-09-07.json
LV-INGENIIPIT-0500cm-r001,False,LV-INGENIIPIT-0200cm-r001,True,False,False,False,False,unique_accounting_2026-09-07.json
LV-INGENIIPIT-0500cm-r002,False,LV-INGENIIPIT-0200cm-r001,False,False,True,False,False,unique_accounting_2026-09-07.json
LV-INGENIIPIT-0500cm-r003,False,LV-INGENIIPIT-0400cm-r003,False,False,True,False,False,unique_accounting_2026-09-07.json
LV-INGENIIPIT-0500cm-r004,False,LV-INGENIIPIT-0200cm-r001,False,False,True,False,False,unique_accounting_2026-09-07.json
LV-INGENIIPIT-0500cm-r005,False,LV-INGENIIPIT-0200cm-r008,False,False,True,False,False,unique_accounting_2026-09-07.json
LV-INGENIIPIT-0500cm-r006,False,LV-INGENIIPIT-0400cm-r006,False,False,True,False,False,unique_accounting_2026-09-07.json
LV-INGENIIPIT-0500cm-r007,False,LV-INGENIIPIT-0200cm-r004,False,False,True,False,False,unique_accounting_2026-09-07.json
LV-INGENIIPIT-0500cm-r008,False,LV-INGENIIPIT-0200cm-r005,False,False,True,False,False,unique_accounting_2026-09-07.json
LV-IRIDIUMPIT1-0400cm-r001,True,LV-IRIDIUMPIT1-0400cm-r001,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-IRIDIUMPIT1-0500cm-r001,False,LV-IRIDIUMPIT1-0400cm-r001,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-MARIUSPIT01-0400cm-r001,True,LV-MARIUSPIT01-0400cm-r001,True,False,False,False,False,unique_accounting_2026-09-07.json
LV-MARIUSPIT01-0400cm-r002,True,LV-MARIUSPIT01-0400cm-r002,False,False,False,True,False,unique_accounting_2026-09-07.json
LV-MARIUSPIT01-0800cm-r001,True,LV-MARIUSPIT01-0800cm-r001,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-MARIUSPIT01-0800cm-r002,False,LV-MARIUSPIT01-0400cm-r001,True,False,False,False,False,unique_accounting_2026-09-07.json
LV-MARIUSPIT01-0800cm-r003,True,LV-MARIUSPIT01-0800cm-r003,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-MARIUSPIT01-0800cm-r004,True,LV-MARIUSPIT01-0800cm-r004,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-PRCLRMPIT01-0400cm-r001,True,LV-PRCLRMPIT01-0400cm-r001,True,False,False,False,False,unique_accounting_2026-09-07.json
LV-PRCLRMPIT01-0500cm-r001,False,LV-PRCLRMPIT01-0400cm-r001,True,False,False,False,False,unique_accounting_2026-09-07.json
LV-SWFECUNPIT1-0200cm-r001,True,LV-SWFECUNPIT1-0200cm-r001,True,False,False,False,False,unique_accounting_2026-09-07.json
LV-SWFECUNPIT1-0400cm-r001,False,LV-SWFECUNPIT1-0200cm-r001,True,False,False,False,False,unique_accounting_2026-09-07.json
LV-SWFECUNPIT1-0500cm-r001,False,LV-SWFECUNPIT1-0200cm-r001,True,False,False,False,False,unique_accounting_2026-09-07.json
LV-TRANQPIT1-0500cm-r001,True,LV-TRANQPIT1-0500cm-r001,False,True,False,False,False,unique_accounting_2026-09-07.json
LV-TRANQPIT1-0500cm-r002,True,LV-TRANQPIT1-0500cm-r002,False,True,False,False,False,unique_accounting_2026-09-07.json
LV-TRANQPIT1-0500cm-r003,False,LV-TRANQPIT1-0500cm-r002,False,True,False,False,False,unique_accounting_2026-09-07.json
LV-TRANQPIT1-0500cm-r004,True,LV-TRANQPIT1-0500cm-r004,True,False,False,False,False,unique_accounting_2026-09-07.json
LV-FECUNPIT-0400cm-r001,True,LV-FECUNPIT-0400cm-r001,False,True,False,False,False,unique_accounting_2026-09-07.json
LV-FECUNPIT-0400cm-r002,True,LV-FECUNPIT-0400cm-r002,False,True,False,False,False,unique_accounting_2026-09-07.json
LV-FECUNPIT-0400cm-r003,True,LV-FECUNPIT-0400cm-r003,False,True,False,False,False,unique_accounting_2026-09-07.json
LV-FECUNPIT-0500cm-r001,False,LV-FECUNPIT-0400cm-r001,False,True,False,False,False,unique_accounting_2026-09-07.json
LV-FECUNPIT-0500cm-r002,False,LV-FECUNPIT-0400cm-r002,False,True,False,False,False,unique_accounting_2026-09-07.json
LV-FECUNPIT-0500cm-r003,False,LV-FECUNPIT-0400cm-r003,False,True,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT-0200cm-r001,True,LV-FRESHMELT-0200cm-r001,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT-0200cm-r002,True,LV-FRESHMELT-0200cm-r002,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT-0200cm-r003,True,LV-FRESHMELT-0200cm-r003,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT-0200cm-r004,True,LV-FRESHMELT-0200cm-r004,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT-0200cm-r005,True,LV-FRESHMELT-0200cm-r005,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT-0200cm-r006,True,LV-FRESHMELT-0200cm-r006,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT-0200cm-r007,True,LV-FRESHMELT-0200cm-r007,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT-0200cm-r008,True,LV-FRESHMELT-0200cm-r008,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT-0200cm-r009,True,LV-FRESHMELT-0200cm-r009,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT-0200cm-r010,True,LV-FRESHMELT-0200cm-r010,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT-0400cm-r001,False,LV-FRESHMELT-0200cm-r006,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT-0400cm-r002,False,LV-FRESHMELT-0200cm-r001,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT-0400cm-r003,False,LV-FRESHMELT-0200cm-r004,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT-0400cm-r004,True,LV-FRESHMELT-0400cm-r004,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT-0400cm-r005,False,LV-FRESHMELT-0200cm-r005,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT-0400cm-r006,False,LV-FRESHMELT-0200cm-r003,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT-0400cm-r007,False,LV-FRESHMELT-0200cm-r008,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT-0400cm-r008,True,LV-FRESHMELT-0400cm-r008,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT-0400cm-r009,False,LV-FRESHMELT-0200cm-r009,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT-0400cm-r010,True,LV-FRESHMELT-0400cm-r010,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT-0400cm-r011,True,LV-FRESHMELT-0400cm-r011,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT-0400cm-r012,False,LV-FRESHMELT-0200cm-r007,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT-0500cm-r001,False,LV-FRESHMELT-0200cm-r006,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT-0500cm-r002,False,LV-FRESHMELT-0200cm-r001,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT-0500cm-r003,False,LV-FRESHMELT-0200cm-r004,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT-0500cm-r004,False,LV-FRESHMELT-0400cm-r004,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT-0500cm-r005,False,LV-FRESHMELT-0200cm-r005,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT-0500cm-r006,False,LV-FRESHMELT-0200cm-r003,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT-0500cm-r007,False,LV-FRESHMELT-0200cm-r008,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT-0500cm-r008,False,LV-FRESHMELT-0400cm-r008,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT-0500cm-r009,False,LV-FRESHMELT-0200cm-r009,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT-0500cm-r010,False,LV-FRESHMELT-0400cm-r010,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT-0500cm-r011,False,LV-FRESHMELT-0400cm-r011,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT-0500cm-r012,False,LV-FRESHMELT-0200cm-r007,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT1-0200cm-r001,True,LV-FRESHMELT1-0200cm-r001,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT1-0200cm-r002,True,LV-FRESHMELT1-0200cm-r002,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT1-0200cm-r003,True,LV-FRESHMELT1-0200cm-r003,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT1-0200cm-r004,True,LV-FRESHMELT1-0200cm-r004,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT1-0200cm-r005,True,LV-FRESHMELT1-0200cm-r005,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT1-0400cm-r001,False,LV-FRESHMELT1-0200cm-r001,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT1-0400cm-r002,False,LV-FRESHMELT1-0200cm-r002,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT1-0400cm-r003,False,LV-FRESHMELT1-0200cm-r003,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT1-0400cm-r004,False,LV-FRESHMELT1-0200cm-r004,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT1-0400cm-r005,False,LV-FRESHMELT1-0200cm-r005,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT1-0500cm-r001,False,LV-FRESHMELT1-0200cm-r001,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT1-0500cm-r002,False,LV-FRESHMELT1-0200cm-r002,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT1-0500cm-r003,False,LV-FRESHMELT1-0200cm-r003,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT1-0500cm-r004,False,LV-FRESHMELT1-0200cm-r004,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-FRESHMELT1-0500cm-r005,False,LV-FRESHMELT1-0200cm-r005,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-KINGCRATER2-0200cm-r001,True,LV-KINGCRATER2-0200cm-r001,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-KINGCRATER2-0400cm-r001,True,LV-KINGCRATER2-0400cm-r001,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-KINGCRATER2-0400cm-r002,True,LV-KINGCRATER2-0400cm-r002,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-KINGCRATER2-0400cm-r003,True,LV-KINGCRATER2-0400cm-r003,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-KINGCRATER2-0400cm-r004,True,LV-KINGCRATER2-0400cm-r004,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-KINGCRATER2-0400cm-r005,True,LV-KINGCRATER2-0400cm-r005,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-KINGCRATER2-0400cm-r006,True,LV-KINGCRATER2-0400cm-r006,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-KINGCRATER2-0400cm-r007,True,LV-KINGCRATER2-0400cm-r007,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-KINGCRATER2-0400cm-r008,True,LV-KINGCRATER2-0400cm-r008,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-KINGCRATER2-0500cm-r001,False,LV-KINGCRATER2-0400cm-r001,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-KINGCRATER2-0500cm-r002,False,LV-KINGCRATER2-0400cm-r002,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-KINGCRATER2-0500cm-r003,False,LV-KINGCRATER2-0400cm-r003,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-KINGCRATER2-0500cm-r004,False,LV-KINGCRATER2-0400cm-r004,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-KINGCRATER2-0500cm-r005,False,LV-KINGCRATER2-0400cm-r005,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-KINGCRATER2-0500cm-r006,False,LV-KINGCRATER2-0400cm-r006,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-KINGCRATER2-0500cm-r007,False,LV-KINGCRATER2-0400cm-r007,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-KINGCRATER2-0500cm-r008,False,LV-KINGCRATER2-0400cm-r008,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-KINGCRATER3-0200cm-r001,True,LV-KINGCRATER3-0200cm-r001,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-KINGCRATER3-0400cm-r001,False,LV-KINGCRATER3-0200cm-r001,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-KINGCRATER3-0500cm-r001,False,LV-KINGCRATER3-0200cm-r001,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-KINGCRATER4-0200cm-r001,True,LV-KINGCRATER4-0200cm-r001,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-KINGCRATER4-0400cm-r001,True,LV-KINGCRATER4-0400cm-r001,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-KINGCRATER4-0400cm-r002,True,LV-KINGCRATER4-0400cm-r002,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-KINGCRATER4-0500cm-r001,False,LV-KINGCRATER4-0400cm-r001,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-KINGCRATER4-0500cm-r002,False,LV-KINGCRATER4-0400cm-r002,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-TYCHOPK02-0200cm-r001,True,LV-TYCHOPK02-0200cm-r001,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-TYCHOPK02-0200cm-r002,True,LV-TYCHOPK02-0200cm-r002,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-TYCHOPK02-0200cm-r003,True,LV-TYCHOPK02-0200cm-r003,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-TYCHOPK02-0200cm-r004,True,LV-TYCHOPK02-0200cm-r004,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-TYCHOPK02-0200cm-r005,True,LV-TYCHOPK02-0200cm-r005,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-TYCHOPK02-0200cm-r006,True,LV-TYCHOPK02-0200cm-r006,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-TYCHOPK02-0200cm-r007,True,LV-TYCHOPK02-0200cm-r007,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-TYCHOPK02-0200cm-r008,True,LV-TYCHOPK02-0200cm-r008,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-TYCHOPK02-0200cm-r009,True,LV-TYCHOPK02-0200cm-r009,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-TYCHOPK02-0200cm-r010,True,LV-TYCHOPK02-0200cm-r010,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-TYCHOPK02-0200cm-r011,True,LV-TYCHOPK02-0200cm-r011,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-TYCHOPK02-0200cm-r012,True,LV-TYCHOPK02-0200cm-r012,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-TYCHOPK02-0200cm-r013,True,LV-TYCHOPK02-0200cm-r013,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-TYCHOPK02-0200cm-r014,True,LV-TYCHOPK02-0200cm-r014,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-TYCHOPK02-0200cm-r015,True,LV-TYCHOPK02-0200cm-r015,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-TYCHOPK02-0200cm-r016,True,LV-TYCHOPK02-0200cm-r016,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-TYCHOPK02-0200cm-r017,True,LV-TYCHOPK02-0200cm-r017,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-TYCHOPK02-0200cm-r018,True,LV-TYCHOPK02-0200cm-r018,False,False,False,False,False,unique_accounting_2026-09-07.json
LV-TYCHOPK02-0200cm-r019,True,LV-TYCHOPK02-0200cm-r019,False,False,False,False,False,unique_accounting_2026-09-07.json
