pit_site,lon,lat,terrain,lroc_dtm_product_id,lroc_dtm_url,lroc_dtm_lbl_url,estimated_size_mb,pit_in_catalog,priority_in_registry,resolution_m,coverage_km2,quality,relat_le_m,triang_rms_m
Central Mare Fecunditatis Pit,48.6595,-0.9182,Mare,FECNDITATS2,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/FECNDITATS2/NAC_DTM_FECNDITATS2.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/FECNDITATS2/NAC_DTM_FECNDITATS2.LBL,232.3,True,True,4.0,663.69,good,2.11,1.06
Mare Ingenii Pit,166.0559,-35.9494,Mare,INGENIIPIT,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/INGENIIPIT/NAC_DTM_INGENIIPIT.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/INGENIIPIT/NAC_DTM_INGENIIPIT.LBL,201.9,True,True,2.0,185.25,good,1.74,0.227
Sinus Iridum Pit,-28.811,45.623,Mare,IRIDIUMPIT1,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/IRIDIUMPIT1/NAC_DTM_IRIDIUMPIT1.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/IRIDIUMPIT1/NAC_DTM_IRIDIUMPIT1.LBL,170.1,True,True,5.0,809.9,good,3.97,0.862
Marius Hills Pit,-56.7701,14.0917,Mare,MARIUSPIT01,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/MARIUSPIT01/NAC_DTM_MARIUSPIT01.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/MARIUSPIT01/NAC_DTM_MARIUSPIT01.LBL,157.5,True,True,4.0,449.88,good,3.43,0.321
North Procellarum 1 Pit,-45.6398,35.4097,Mare,PRCLRMPIT01,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/PRCLRMPIT01/NAC_DTM_PRCLRMPIT01.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/PRCLRMPIT01/NAC_DTM_PRCLRMPIT01.LBL,162.0,True,True,5.0,771.23,good,3.36,0.302
North Procellarum 2 Pit,-45.6553,35.3433,Mare,PRCLRMPIT01,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/PRCLRMPIT01/NAC_DTM_PRCLRMPIT01.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/PRCLRMPIT01/NAC_DTM_PRCLRMPIT01.LBL,162.0,True,True,5.0,771.23,good,3.36,0.302
Southwest Mare Fecunditatis Pit,42.7595,-6.7521,Highland,SWFECUNPIT1,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/SWFECUNPIT1/NAC_DTM_SWFECUNPIT1.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/SWFECUNPIT1/NAC_DTM_SWFECUNPIT1.LBL,287.2,True,True,3.0,448.69,good,1.58,0.525
Mare Tranquillitatis Pit,33.222,8.3355,Mare,TRANQPIT1,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TRANQPIT1/NAC_DTM_TRANQPIT1.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/TRANQPIT1/NAC_DTM_TRANQPIT1.LBL,135.9,True,True,2.0,124.72,good,0.72,0.379
Central Mare Fecunditatis Pit,48.6595,-0.9182,Mare,FECUNPIT,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/FECUNPIT/NAC_DTM_FECUNPIT.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/FECUNPIT/NAC_DTM_FECUNPIT.LBL,140.6,True,False,5.0,669.29,good,5.0,0.0
Virtanen F 1,177.2069,15.7946,Impact Melt,FRESHMELT,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/FRESHMELT/NAC_DTM_FRESHMELT.TIF,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-5-RDR-V1.0/LROLRC_2001/DATA/SDP/NAC_DTM/FRESHMELT/NAC_DTM_FRESHMELT.LBL,371.6,True,False,2.0,340.92,good,1.52,1.23
