# LUNARVOID Task 6 zero-change noise floor (generated 2026-08-19)
# VERDICT (v5 Section 4; rule: sag amplitude A over 60-300 m width detectable in principle if A > 3 x sag-band RMS):
# VERDICT TRANQPIT1: sag-band (60-300 m DoG) RMS = 124.5 cm, 3-sigma = 3.74 m -> A=1 m NOT detectable / A=2 m NOT detectable / A=5 m DETECTABLE.
# VERDICT MARIUSPIT01: sag-band (60-300 m DoG) RMS = 137.9 cm, 3-sigma = 4.14 m -> A=1 m NOT detectable / A=2 m NOT detectable / A=5 m DETECTABLE.
# Panels: flat mare (slope<2 deg from 50-px boxcar gradient), >=1 km^2, >=95% valid;
# flat gate relaxed per zone down to 70% of pixels <2 deg where 98% was unattainable
# (best-window ceiling on TRANQPIT1 is ~93%) — achieved fraction logged per panel;
# >=3 km from catalogued pit, >250 m beyond LU5M812TGT crater rims
# (catalogue floor 400 m diameter: sub-400 m craters REMAIN in panels - caveat),
# >=1 km from Hurwitz rille axes. Residual variants: poly2 = minus 2nd-order polynomial;
# hp300 = minus 300-m boxcar. sagband_rms_m = pooled RMS of DoG(60-300 m) residual,
# identical for both variant rows of a panel (DoG is its own detrender).
# P1 terrestrial reference (I3): mean 10.99 cm, median 8.24 cm, SD 21.64 cm, P10 -5.72, P90 33.17 cm.
# center_lon in 0-360 E frame. Input DTMs: kriging-corrected (Task 5 I2 pipeline).
dtm,panel_id,center_lon,center_lat,n_px,mean_m,median_m,sd_m,p10_m,p90_m,sagband_rms_m,variant
TRANQPIT1,TRANQPIT1_P1,33.192189,8.464731,561001,-0.000000,0.263340,2.465638,-2.691512,2.645250,1.619647,poly2
TRANQPIT1,TRANQPIT1_P1,33.192189,8.464731,561001,-0.000000,0.269866,1.628960,-1.778685,1.660409,1.619647,hp300
TRANQPIT1,TRANQPIT1_P2,33.142903,8.112131,358801,0.000000,0.302721,1.608581,-2.078049,1.659926,0.907718,poly2
TRANQPIT1,TRANQPIT1_P2,33.142903,8.112131,358801,0.000000,0.246830,1.294253,-1.553522,1.289713,0.907718,hp300
TRANQPIT1,TRANQPIT1_P3,33.248203,8.612868,343288,0.000000,0.249739,1.630169,-2.011501,1.679762,1.169613,poly2
TRANQPIT1,TRANQPIT1_P3,33.248203,8.612868,343288,0.010393,0.228304,1.341595,-1.484759,1.321649,1.169613,hp300
TRANQPIT1,TRANQPIT1_P4,33.239878,8.029687,358801,0.000000,0.306784,1.797178,-2.441259,1.968951,0.796365,poly2
TRANQPIT1,TRANQPIT1_P4,33.239878,8.029687,358801,0.000000,0.136593,1.219654,-1.601234,1.394667,0.796365,hp300
TRANQPIT1,TRANQPIT1_P5,33.142903,8.835468,358801,0.000000,0.191470,2.915786,-2.463512,2.628709,0.830658,poly2
TRANQPIT1,TRANQPIT1_P5,33.142903,8.835468,358801,0.000000,0.160402,2.062785,-1.860612,1.636578,0.830658,hp300
TRANQPIT1,TRANQPIT1_P6,33.192189,8.024740,561001,0.000000,0.119259,2.255359,-2.715004,2.726136,1.021889,poly2
TRANQPIT1,TRANQPIT1_P6,33.192189,8.024740,561001,-0.000000,0.158261,1.296575,-1.596550,1.462452,1.021889,hp300
TRANQPIT1,TRANQPIT1_P7,33.187194,8.678823,358801,0.000000,0.396701,2.242247,-2.252023,2.091214,1.720086,poly2
TRANQPIT1,TRANQPIT1_P7,33.187194,8.678823,358801,-0.000000,0.272338,1.716169,-1.611112,1.591947,1.720086,hp300
TRANQPIT1,POOLED,,,2900494,0.000000,0.261847,2.206234,-2.439212,2.253372,1.245184,poly2
TRANQPIT1,POOLED,,,2900494,0.001230,0.210296,1.527530,-1.635306,1.487178,1.245184,hp300
MARIUSPIT01,MARIUSPIT01_P1,303.233428,14.291231,140625,0.000000,0.015349,2.040855,-1.962922,2.310602,0.942977,poly2
MARIUSPIT01,MARIUSPIT01_P1,303.233428,14.291231,140625,0.000000,0.221470,1.481536,-1.373001,1.309975,0.942977,hp300
MARIUSPIT01,MARIUSPIT01_P2,303.091089,13.466124,140625,0.000000,0.119477,1.822813,-2.293791,2.112750,1.076275,poly2
MARIUSPIT01,MARIUSPIT01_P2,303.091089,13.466124,140625,-0.000000,0.166873,1.404851,-1.728751,1.535986,1.076275,hp300
MARIUSPIT01,MARIUSPIT01_P3,303.332944,14.526297,140625,-0.000000,0.270046,2.671237,-2.636282,2.669492,2.047517,poly2
MARIUSPIT01,MARIUSPIT01_P3,303.332944,14.526297,140625,0.000000,0.147521,1.968256,-1.496069,1.742980,2.047517,hp300
MARIUSPIT01,MARIUSPIT01_P4,303.128815,14.705763,89964,-0.000000,0.318243,2.633057,-2.138104,2.287604,0.735420,poly2
MARIUSPIT01,MARIUSPIT01_P4,303.128815,14.705763,89964,-0.000958,0.204081,2.103962,-1.492221,1.494970,0.735420,hp300
MARIUSPIT01,MARIUSPIT01_P5,303.276252,13.748679,140625,-0.000000,0.306762,2.404648,-2.838814,2.626197,1.664148,poly2
MARIUSPIT01,MARIUSPIT01_P5,303.276252,13.748679,140625,0.000000,0.270099,1.855493,-2.065577,1.856382,1.664148,hp300
MARIUSPIT01,MARIUSPIT01_P6,303.194071,14.772246,90000,-0.000000,0.144702,1.415184,-1.707107,1.557335,0.807173,poly2
MARIUSPIT01,MARIUSPIT01_P6,303.194071,14.772246,90000,0.000000,0.150435,1.166610,-1.336602,1.218550,0.807173,hp300
MARIUSPIT01,MARIUSPIT01_P7,303.103120,13.988692,90000,-0.000000,0.282227,1.833255,-2.421815,2.043734,1.195874,poly2
MARIUSPIT01,MARIUSPIT01_P7,303.103120,13.988692,90000,-0.000000,0.174873,1.361078,-1.677372,1.499841,1.195874,hp300
MARIUSPIT01,MARIUSPIT01_P8,303.332944,14.457439,140625,0.000000,0.262226,2.247629,-2.378937,2.271918,1.368352,poly2
MARIUSPIT01,MARIUSPIT01_P8,303.332944,14.457439,140625,-0.000000,0.210143,1.774366,-1.632894,1.736698,1.368352,hp300
MARIUSPIT01,POOLED,,,973089,-0.000000,0.202597,2.194529,-2.331392,2.294832,1.379200,poly2
MARIUSPIT01,POOLED,,,973089,-0.000089,0.195081,1.679654,-1.608344,1.562854,1.379200,hp300
