dtm_name,site,lon_min,lon_max,lat_min,lat_max,n_panels,pooled_rms_m,three_sigma_m,panel_min_rms,panel_max_rms,local_Amin_m,mtime
MARIUSCONE,Marius Hills Pit and Broken Cone,-56.994400,-56.240600,13.396800,15.078400,9,1.229590,3.688770,0.597634,1.520980,3.688770,2026-08-22T03:04:56+00:00
MARIUSPIT01,Marius Pit,-56.994400,-56.541500,13.396900,15.049700,8,1.379200,4.137601,0.735420,2.047517,4.137601,2026-08-19T17:34:20+00:00
PRCLRMPIT01,Procellarum Pits,-45.988700,-45.290600,34.314600,36.430700,9,1.175426,3.526279,0.760208,1.494232,3.526279,2026-08-19T16:42:04+00:00
GRUITHUIS17,Gruithuisen Domes,-40.863100,-40.072800,35.520500,38.168800,8,1.461695,4.385086,0.772179,2.187202,4.385086,2026-08-22T03:06:26+00:00
INGENIIPIT,Mare Ingenii Pit,165.886700,166.207400,-36.442700,-35.512400,9,0.986422,2.959265,0.566946,1.522890,2.959265,2026-08-19T16:39:18+00:00
TRANQPIT1,Mare Tranquillitatis Pit,33.114600,33.272600,7.914500,8.863500,7,1.245184,3.735551,0.796365,1.720086,3.735551,2026-08-19T17:26:29+00:00
GRUITHMARE2,Pit Chain in Mare SW of Gruithuisen Domes,-43.929600,-43.158300,32.850300,35.439700,9,1.118491,3.355474,0.724533,1.528814,3.355474,2026-08-22T03:07:53+00:00
FECNDITATS2,Bouldered ridge in Mare Fecunditatis NE of Messier Crater,48.557200,48.982600,-1.903200,0.031200,9,0.765970,2.297910,0.509784,1.077856,2.297910,2026-08-19T16:45:25+00:00
IRIDIUMPIT1,Sinus Iridium Pit,-29.194500,-28.458800,44.323900,46.541900,9,0.945870,2.837609,0.714275,1.196911,2.837609,2026-08-19T16:42:56+00:00
SWFECUNPIT1,SW Mare Fecunditatis Pit,42.629000,43.088200,-7.516200,-5.902800,7,1.077197,3.231591,0.840202,1.266667,3.231591,2026-08-19T16:40:38+00:00
