Name,Terrain,Latitude,Longitude,n_dtm_overlaps,best_resolution,best_relat_le,best_quality,atlas_dtm_field,stereo_ids,coverage_class
Marius Hills Pit,Mare,14.0917,-56.7701,2,4.0,3.43,good,NAC_DTM_MARIUSPIT01,"M1274616922L,M1274609891L",HAS_DTM
West Marius Hills Pit,Mare,13.5507,-58.1733,0,,,,,"M1313401618L,M1313394599L",STEREO_NO_DTM
Mare Tranquillitatis Pit,Mare,8.3355,33.222,1,2.0,0.72,good,NAC_DTM_TRANQPIT1,"M152655237R,M137332905R",HAS_DTM
Southwest Mare Tranquillitatis Pit,Mare,4.1438,24.6871,0,,,,,"M1341063036R,M1297582135L",STEREO_NO_DTM
Southwest Mare Tranquillitatis B Pit,Mare,4.1438,24.6867,0,,,,,N/A,NO_COVERAGE
Mare Ingenii Pit,Mare,-35.9494,166.0559,1,2.0,1.74,good,,"M1117792640R,M1117785537L",HAS_DTM
Runge Pit,Mare,-2.7024,86.78,0,,,,,"M190036923R,M190022623R",STEREO_NO_DTM
Lacus Mortis Pit,Mare,44.9608,25.6119,0,,,,,"M1317542330L,M1317528271L",STEREO_NO_DTM
Compton Pit,Mare,56.2247,106.1955,0,,,,,"M1225299477R,M1225278371L",STEREO_NO_DTM
North Procellarum 1 Pit,Mare,35.4097,-45.6398,1,5.0,3.36,good,NAC_DTM_PRCLRMPIT01,"M1206329407R,M1206315342L",HAS_DTM
North Procellarum 2 Pit,Mare,35.3433,-45.6553,1,5.0,3.36,good,NAC_DTM_PRCLRMPIT01,"M1206329407L,M1206315342L",HAS_DTM
Sinus Iridum Pit,Mare,45.623,-28.811,1,5.0,3.97,good,NAC_DTM_IRIDIUMPIT1,"M1223843860R,M1223829793R",HAS_DTM
Mare Insularum Pit,Mare,8.6861,-29.0335,0,,,,,N/A,NO_COVERAGE
Mare Moscoviense Pit,Mare,29.5025,150.4647,0,,,,,"M1319088918L,M1319074859L",STEREO_NO_DTM
Mare Serenitatis Pit,Mare,35.1041,17.4017,0,,,,,"M1345798646L,M1345784596R",STEREO_NO_DTM
Central Mare Fecunditatis Pit,Mare,-0.9182,48.6595,2,4.0,2.11,good,NAC_DTM_FECNDITATS2,"M1107968066R,M1107953768R",HAS_DTM
Southwest Mare Fecunditatis Pit,Highland,-6.7521,42.7595,1,3.0,1.58,good,,"M1108003923R,M1107996775R",HAS_DTM
Schlï¿½ter Pit,Highland,-5.8395,-83.05,0,,,,,"M1311225886R,M1114710368L",STEREO_NO_DTM
Highland 1,Highland,43.9662,23.0836,0,,,,,N/A,NO_COVERAGE
Highland 2,Highland,41.1563,18.8206,0,,,,,N/A,NO_COVERAGE
Highland 3,Highland,42.3941,-39.6924,0,,,,,N/A,NO_COVERAGE
