DTM_NAME,sitename,dtm_vers,images,resolution,center_lon,center_lat,relat_le,triang_rms,completion,num_profil,lola_avg,lola_rms,adjust_rms,lat_offset,lon_offset,elv_offset,ln_jitter,sam_jitter,isis_vers,cov_sqkm,conv_angle,num_stereo,url,features,quality
PRINZVENT,Rimae Prinz Vent and Rille,1,"M1129766316, M1129759205",5,316.4,27.0,6.21,0.236,2013-08-11,12.0,3.77,4.42,4.61,-23.15,-3.86,0.8,f,f,3.4.4,867.45,12.52,1,https://data.lroc.im-ldi.com/lroc/view_rdr/NAC_DTM_PRINZVENT,"{Volcanism,Rille,Mare}",fair
RIMSCHRODGR,West Rima Schrodinger,1,"M190938120, M190952417",5,307.98,25.4,3.47,0.192,2014-04-04,11.0,1.42,1.71,1.83,-8.38,-2.83,-0.49,f,f,3.4.4,993.65,23.47,1,https://data.lroc.im-ldi.com/lroc/view_rdr/NAC_DTM_RIMSCHRODGR,"{Volcanism,Rille,Mare,Explosive Volcanism}",good
SEISMCLAND,Seismic Lander (Rimae Grimaldi),1,"M160363157, M160369945",2,297.0,-5.0,0.8,0.39,2011-07-01,3.0,3.86,5.65,1.05,-32.37,-8.61,4.55,f,f,3.2.1,127.16,39.92,1,https://data.lroc.im-ldi.com/lroc/view_rdr/NAC_DTM_SEISMCLAND,"{Highland,Graben}",good
RIMASHARP,Rima Sharp,1,"M1119207667, M1119228976, M1180450133, M1180471455, M173246166, M173252954",5,309.59,43.68,3.54,0.432,2015-07-31,36.0,1.5,1.96,1.55,-1.63,-0.65,-0.2,f,f,3.4.4,2003.97,0.0,3,https://data.lroc.im-ldi.com/lroc/view_rdr/NAC_DTM_RIMASHARP,"{Mare,Volcanism,Rille}",good
RIMASHARP1,Rima Sharp,1,"M1119207667, M1119228976",5,310.23,43.75,3.5,0.432,2015-07-11,36.0,1.52,1.95,1.49,-0.19,-3.17,-0.44,f,f,3.4.4,1041.62,26.3,1,https://data.lroc.im-ldi.com/lroc/view_rdr/NAC_DTM_RIMASHARP1,"{Volcanism,Mare,Rille}",good
RIMASHARP2,Rima Sharp,1,"M1180450133, M1180471455",5,309.72,43.57,3.27,0.432,2015-07-11,30.0,1.48,1.94,1.42,-4.73,5.61,0.16,f,f,3.4.4,978.59,26.69,1,https://data.lroc.im-ldi.com/lroc/view_rdr/NAC_DTM_RIMASHARP2,"{Rille,Volcanism,Mare}",good
RIMASHARP3,Rima Sharp,1,"M173246166, M173252954",2,308.61,44.08,1.23,0.129,2015-07-10,8.0,0.78,1.14,0.76,1.95,-3.85,0.03,f,f,3.4.4,144.48,27.21,1,https://data.lroc.im-ldi.com/lroc/view_rdr/NAC_DTM_RIMASHARP3,"{Rille,Volcanism,Mare}",good
HIPPALUS01,Graben of Rimae Hippalus,1,"M1252096868, M1252110935",3,329.36,-26.27,0.77,0.191,2019-01-15,17.0,0.69,1.01,0.68,1.37,-0.92,-0.02,f,f,3.4.11,214.65,52.28,1,https://data.lroc.im-ldi.com/lroc/view_rdr/NAC_DTM_HIPPALUS01,"{Volcanism,Tectonism,Mare,Graben}",good
SHARPRIDGE,Wrinkle Ridge West of Sharp W,1,"M1269851784, M1269872884",5,313.52,49.74,2.46,0.123,2018-12-12,39.0,1.0,1.26,1.06,-2.29,-1.36,-0.13,f,t,3.4.11,638.79,30.09,1,https://data.lroc.im-ldi.com/lroc/view_rdr/NAC_DTM_SHARPRIDGE,"{Tectonism,Mare,Wrinkle Ridge}",good
VSCHROTERI,Vallis Schroteri,1,"M1114497847, M1114512054",5,309.56,25.4,3.02,0.235,2014-01-05,19.0,2.65,3.24,3.89,2.02,-8.65,2.07,f,f,3.4.4,851.72,25.23,1,https://data.lroc.im-ldi.com/lroc/view_rdr/NAC_DTM_VSCHROTERI,"{Rille,Volcanism,Mare,Explosive Volcanism}",good
VINGHIRAM01,Vallis Inghirami,1,"M1252406662, M1252413698",2,284.81,-43.21,1.78,0.155,2020-02-13,31.0,1.16,1.91,1.12,0.38,1.02,-0.07,f,f,3.4.11,207.62,22.22,1,https://data.lroc.im-ldi.com/lroc/view_rdr/NAC_DTM_VINGHIRAM01,"{Impact Feature,Highland,Ejecta,Impact Melt}",good
VINGHIRAM02,Vallis Inghirami,1,"M1241767258, M1241781329",3,285.27,-42.71,1.31,0.155,2020-02-17,29.0,1.32,1.96,1.17,-2.04,3.97,0.07,f,f,3.4.11,294.79,37.68,1,https://data.lroc.im-ldi.com/lroc/view_rdr/NAC_DTM_VINGHIRAM02,"{Ejecta,Impact Melt,Impact Feature,Highland}",good
VINGHIRAM03,Vallis Inghirami,1,"M1257104864, M1257111900",3,285.46,-43.1,2.02,0.155,2020-02-18,17.0,0.97,1.32,0.81,0.98,7.17,0.02,f,f,3.4.11,223.25,20.97,1,https://data.lroc.im-ldi.com/lroc/view_rdr/NAC_DTM_VINGHIRAM03,"{Impact Feature,Ejecta,Highland,Impact Melt}",good
VINGHIRAMI,Vallis Inghirami,1,"M1241767258, M1241781329, M1257104864, M1257111900",3,285.34,-42.87,2.02,0.155,2020-02-20,35.0,1.17,1.73,1.15,-1.45,2.61,0.08,f,f,3.4.11,450.13,0.0,2,https://data.lroc.im-ldi.com/lroc/view_rdr/NAC_DTM_VINGHIRAMI,"{Impact Feature,Impact Melt,Ejecta,Highland}",good
VSCHROTERI2,Vallis Schroteri,1,"M1259276743, M1259290811",4,307.61,25.28,1.72,0.15,2020-03-05,21.0,1.26,1.69,1.03,0.47,6.41,-0.47,f,f,3.4.11,477.44,33.25,1,https://data.lroc.im-ldi.com/lroc/view_rdr/NAC_DTM_VSCHROTERI2,"{Volcanism,Rille,Explosive Volcanism}",good
LACUSMORT02,Lacus Mortis Pits and Rimae Burg,1,"M1105737674, M1105759104",5,25.53,44.91,3.46,0.459,2021-08-17,37.0,2.53,3.13,2.6,0.26,0.51,-0.7,f,f,"3.4.11,3.8.1",983.12,24.52,1,https://data.lroc.im-ldi.com/lroc/view_rdr/NAC_DTM_LACUSMORT02,"{Graben,Volcanism,Tectonism,Rille,Proc. KREEP Terrane,Vent,Pit,Mare}",good
