DTM_NAME,n_craters,median_d_km,cov_sqkm,crater_per_km2
NEWCRATER12,89,0.8747684979132262,29.04,3.0647382920110195
VIRTANEN,283,0.9908815367361252,374.53,0.7556137025071423
ALPHONSUS1,120,0.6597226435945766,284.51,0.42177779339917754
ARISTARCHU4,47,0.6372559062082679,116.45,0.403606698153714
HPONDS6,55,0.8370989847438735,146.57,0.37524732209865597
HPONDS2,58,0.9975300178297162,156.67,0.3702048892576754
JEANSU,53,0.7176621967965561,145.67,0.3638360678245349
MOZARTW,252,0.7200190367006012,712.29,0.3537884850271659
NEWCRATER1,54,0.7543469377164469,160.59,0.3362600410984495
PITISCUSW02,57,0.8810559775344871,174.55,0.32655399598968776
PITISCUSW03,64,0.954216867746437,197.93,0.323346637700197
HPONDS22,286,0.9436694504295295,888.22,0.3219922992051519
APENNINE01,283,0.8914253682383271,891.76,0.3173499596303938
FRSHCRATER13,45,0.8448435686810211,143.62,0.31332683470268763
HPONDS1,50,0.9003252314339358,160.0,0.3125
LACUSMORT03,229,0.7540281961433989,736.75,0.3108245673566339
FEOKTISTOV,60,0.9479156839999697,194.04,0.30921459492888065
GRIMALDI01,38,0.7515151835327727,126.88,0.2994955863808323
SEISMCLAND,38,0.7515151835327727,127.16,0.2988361119849009
HPONDS27,254,0.707970010018861,882.79,0.28772414730570123
NEWCRATER8,154,0.8430946974935021,537.05,0.2867516990969184
HPONDS10,44,0.8100177418129204,154.28,0.2851957479906663
WHALE,145,0.6898991083699584,510.06,0.28428028075128414
ATLAS6,23,1.312969888712152,82.95,0.27727546714888485
RANGER9,36,0.6384247295688756,130.35,0.27617951668584584
HPONDS4,43,1.2241310852641143,155.71,0.27615438957035515
APOLLO16_3,38,0.7380439937444072,138.0,0.2753623188405797
OPNHEIMRSE1,59,0.9463782784319436,214.51,0.27504545242646034
LACUSMORT01,99,0.7922568831831694,362.84,0.2728475361040679
AUSTRVOLC01,45,1.0642069959679124,165.31,0.2722158369124675
PITISCUSW01,47,0.741392417975664,174.26,0.26971192471020317
APENNINE02,185,0.7920080248841112,686.82,0.2693573279753065
BAILYBVENT,174,0.7654434102651376,650.44,0.2675112231720066
APOLLO14,32,0.8249830360524061,120.53,0.2654940678669211
HPONDS11,41,0.8547963774745436,154.71,0.265011957856635
GROVECRTR02,98,0.6953904510364755,377.27,0.2597609139343176
APOLLO16_2,31,0.8780558974790371,120.9,0.2564102564102564
APENNINE06,163,0.8255451600663919,643.45,0.2533219364363975
VIRTANEN1,45,0.983764244105386,178.86,0.2515934250251593
GROVECRTR01,163,0.7246505669367235,649.01,0.2511517542102587
VAPORIMP02,95,0.6501731237451818,378.59,0.25093108639953515
HYGINUS,113,0.6229054132217458,454.76,0.24848271615797343
APENNINE04,123,0.7457084000857545,495.44,0.24826416922331665
LACUSMORT02,243,0.7267806453269664,983.12,0.24717226788184554
VIRTANEN2,48,1.1246408748936607,195.55,0.2454615187931475
ALPHONSUS,165,0.6608610657891344,679.79,0.24272201709351418
HPONDS17,292,0.9464279013998222,1211.87,0.24094993687441724
BOOSTIMPCT1,99,0.659624224958656,420.48,0.23544520547945205
APOLLO16,160,0.8055796127036958,681.1,0.23491410952870356
REINER3,31,0.6081050349942333,134.4,0.2306547619047619
APENNINE03,109,0.7284595536289403,474.09,0.22991415132147905
MAFICMOUND,46,0.9608676459269934,201.37,0.22843521875155187
APENNINE05,120,0.7380320520916043,525.93,0.22816724659175178
HANSTEENAL2,29,0.7961306690565549,128.98,0.224841060629555
GRUITHUISE8,24,0.7500646880496147,106.87,0.22457190979694955
APOLLO16_5,26,0.9634571797348022,115.82,0.22448627180107064
BHABHAE01,43,1.1099332762569896,193.05,0.22274022274022273
ORONTIUS01,52,0.9468144285805942,234.52,0.22172949002217293
MENDELEEV03,122,0.8640383569494057,554.9,0.2198594341322761
HPONDS18,277,0.7949313915750119,1279.47,0.21649589283062518
AUSTRVOLC,167,1.1544481653253382,777.21,0.21487114164768853
APOLLO16_1,28,0.7226514922458522,130.65,0.21431305013394564
BRISBANEZ,32,0.6398177854748428,149.48,0.2140754616002141
HANNOCTR,40,0.8454280779089162,188.47,0.2122353690242479
OPNHEIMRE1,47,0.9196586001398224,221.76,0.21194083694083696
AUSTRVOLC02,69,1.2135058507697571,329.16,0.20962449872402478
HOMMELT01,39,0.6862253092978923,186.88,0.2086900684931507
AUSTRVOLC03,59,1.1401268510336835,282.74,0.20867227841833486
GRUITHUISE6,22,0.726104185697409,105.82,0.2079002079002079
OPENHIMERF,39,0.8431988537134895,187.95,0.20750199521149243
OPENHEIMRNE,65,0.7188257692367257,317.27,0.20487282125634318
APOLLO16_6,25,0.8553770143686092,122.17,0.20463288859785544
BHABHAPLAIN,32,0.8583110387884119,156.89,0.2039645611574989
MICHELSON02,106,0.7540324845470319,526.27,0.20141752332452925
HPONDS16,155,0.8555045428135728,770.17,0.20125426853811498
HPONDS8,32,0.947543847830135,159.12,0.20110608345902464
VIRTANEN3,206,0.9846468853803255,1027.5,0.20048661800486617
RIMPARRY1,85,0.6162010164436227,431.53,0.1969735591963479
APOLLO16_4,25,0.8722742438157699,127.55,0.1960015680125441
HPONDS,2152,0.8621880170455005,11030.99,0.1950867510531693
NECTRIMI3,59,1.1738412510722207,303.04,0.1946937697993664
HORTENSIUS6,26,0.6221029728307648,133.99,0.19404433166654225
MENDELFLW02,52,0.7657300987076688,268.14,0.19392854479003507
DISTEJECT01,66,0.6397915112000913,340.52,0.1938212146129449
OPNHEIMRSE2,42,0.8664938654498873,218.1,0.1925722145804677
HPONDS26,183,0.9954432171481852,953.7,0.1918842403271469
CMPLXSCRP,205,0.7575842674133066,1068.52,0.19185415340845283
MENELAUS,127,0.6879516840128345,662.87,0.19159111137930515
CRISHORSE02,27,0.6900206751555548,141.61,0.19066450109455546
HPONDS20,145,0.9249817424785024,761.8,0.19033867156734052
MRECRISIUM1,27,0.6900206751555548,141.9,0.19027484143763213
INGHIRAMI01,47,0.7175451298637798,247.1,0.19020639417239985
MENDELFLW,79,0.7534135418549383,417.13,0.189389398988325
FRSHCRATER4,22,0.9569487053562888,116.68,0.1885498800137127
VAPORIMP01,103,0.6786462954298109,548.23,0.18787735074694928
MRINGENII3,44,0.7373408406823095,234.28,0.187809458767287
NASSAU01,84,1.2147428818356834,447.97,0.18751255664441815
HPONDS9,30,1.229205484771623,160.07,0.18741800462297745
HPONDS7,29,0.926524741245724,155.6,0.18637532133676094
MENDELEEV,347,0.81658810180026,1865.33,0.18602606509303984
OLCOTTMELT,125,1.0273862769433135,673.04,0.18572447402828957
MCNALLYFLW1,105,0.6598260145172994,568.22,0.18478758227447115
BIRKEJECT02,55,0.7475693853532864,298.95,0.1839772537213581
MENDELEEV04,77,0.7603688832595171,419.42,0.18358685804205807
HARDINGH,25,0.6106640052574069,136.85,0.18268176835951772
MENDELFLW01,30,0.6868208416808996,165.7,0.18105009052504528
RIMPARRY2,89,0.6328502376935113,492.15,0.18083917504825767
GRUITHUIS13,25,0.7838732693417231,138.27,0.18080567006581325
GRTHSENNW,25,0.7838732693417231,138.56,0.1804272517321016
HPONDS12,27,1.2175542719548895,149.79,0.18025235329461248
NASSAU02,16,0.8409916481653172,88.78,0.18022077044379364
GRUITHUIS12,16,0.6113157503732487,89.34,0.17909111260353705
POLYBIUSK01,42,0.7805196412553272,235.23,0.17854865450835353
RUMKERDOME1,24,0.9217217647090592,134.68,0.1782001782001782
MENDELEEV01,76,0.7706401885672671,428.14,0.17751202877563416
HIGHESTPOIN,29,0.8126366668947544,163.91,0.17692636202794218
HPONDS15,216,1.0115803310006821,1230.46,0.17554410545649593
IMPACTMELT3,37,0.6095399730299538,212.48,0.1741340361445783
HEVLIUSFLW1,27,0.6648642499987789,155.12,0.1740587931923672
HPONDS14,218,0.9160745204126188,1253.36,0.1739324695219251
MENDELEEV02,109,0.8301348280377271,630.68,0.17282932707553753
GAUSSW,136,0.8224978060683412,787.54,0.1726896411610839
BIRKEJECT,93,0.841984235553193,542.12,0.17154873459750608
HORTENSIUS3,19,0.5976033926621033,111.11,0.17100171001710018
THEOPHILUS1,37,0.5846900117986018,216.41,0.17097176655422577
GEMIMP1,125,0.7233588831783083,733.61,0.17039026185575443
HORTENSIUS2,21,0.5813699133930904,123.48,0.17006802721088435
TMAYERDOME1,102,0.7171391753569016,600.96,0.16972843450479233
ATLAS1,21,1.1512545786391184,124.02,0.16932752781809385
