DTM_NAME,sitename,quality,resolution,relat_le,triang_rms,cov_sqkm,n_pits_in_dtm,pit_names,n_rille_segments,n_unique_rilles,crater_per_km2,n_chain_strips,score_pits,score_rilles,score_crater_inv,score_quality,score_flagship,score_total
MARIUSCONE,Marius Hills Pit and Broken Cone,good,4,3.43,0.321,811.89,1,Marius Hills Pit,6,2,0.050499451896192836,2,5,14,2.9505672780989176,2,0,23.950567278098916
MARIUSPIT01,Marius Pit,good,4,3.43,0.321,449.88,1,Marius Hills Pit,4,2,0.046679114430514805,2,5,10,2.9543069163012756,2,3,22.954306916301277
PRCLRMPIT01,Procellarum Pits,good,5,3.36,0.302,771.23,2,North Procellarum 1 Pit; North Procellarum 2 Pit,0,0,0.062238242806944746,3,10,0,2.93907645265909,2,0,14.93907645265909
GRUITHUIS17,Gruithuisen Domes,good,5,4.9,0.609,1159.17,0,,4,2,0.11214921021075423,4,0,10,2.890219784342012,2,0,14.890219784342012
INGENIIPIT,Mare Ingenii Pit,good,2,1.74,0.227,185.25,1,Mare Ingenii Pit,0,0,0.02699055330634278,1,5,0,2.9735795842241735,2,3,12.973579584224174
TRANQPIT1,Mare Tranquillitatis Pit,good,2,0.72,0.379,124.72,1,Mare Tranquillitatis Pit,0,0,0.14432328415651058,1,5,0,2.858725342520054,2,3,12.858725342520053
GRUITHMARE2,Pit Chain in Mare SW of Gruithuisen Domes,good,5,4.55,0.154,1128.15,0,,2,1,0.05407082391525949,3,0,5,2.947071346297782,2,0,9.947071346297783
MARIUSCONE1,Marius Hills Broken Cone,good,3,2.71,0.321,380.22,0,,2,1,0.05523118194729367,2,0,5,2.945935499199458,2,0,9.945935499199457
FECUNPIT,Fecunditatis Pit,good,5,5.0,0.0,669.29,1,Central Mare Fecunditatis Pit,0,0,0.059764825412003765,2,5,0,2.941497622585463,2,0,9.941497622585462
FECNDITATS2,Bouldered ridge in Mare Fecunditatis NE of Messier Crater,good,4,2.11,1.06,663.69,1,Central Mare Fecunditatis Pit,0,0,0.06026910153836881,2,5,0,2.941003998584015,2,0,9.941003998584016
IRIDIUMPIT1,Sinus Iridium Pit,good,5,3.97,0.862,809.9,1,Sinus Iridum Pit,0,0,0.09136930485245093,3,5,0,2.910560743384882,2,0,9.910560743384881
POSIDONIUS,Posidonius,good,5,3.86,0.221,1075.0,0,,2,1,0.09302325581395349,4,0,5,2.908941729814476,2,0,9.908941729814476
RIMSCHRODGR,West Rima Schrodinger,good,5,3.47,0.192,993.65,0,,2,1,0.10365822975896946,3,0,5,2.8985314047572874,2,0,9.898531404757287
SWFECUNPIT1,SW Mare Fecunditatis Pit,good,3,1.58,0.525,448.69,1,Southwest Mare Fecunditatis Pit,0,0,0.12257906349595489,3,5,0,2.880010247058791,2,0,9.880010247058792
GRUITHUIS14,Gruithuisen Domes,good,3,1.9,0.609,434.76,0,,2,1,0.12420645873585427,2,0,5,2.878417228257667,2,0,9.878417228257668
ISISOSIRIS,Isis and Osiris,good,5,5.0,0.214,891.03,0,,2,1,0.12569722680493361,3,0,5,2.876957950570272,2,0,9.876957950570272
PRINZVENT,Rimae Prinz Vent and Rille,fair,5,6.21,0.236,867.45,0,,1,1,0.1118220070321056,4,0,3,2.8905400758130666,0,0,5.890540075813067
PYTHAGORAS1,Pythagoras,good,2,1.08,2.26,104.35,0,,0,0,0.0,0,0,0,3.0,2,0,5.0
SEARESGRBN,Seares Graben,good,5,2.96,0.397,358.47,0,,0,0,0.0,0,0,0,3.0,2,0,5.0
ANTONIADI,Floor of Antoniadi,good,2,2.54,0.316,150.66,0,,0,0,0.0,0,0,0,3.0,2,0,5.0
LARMORQ3,Larmor Q,good,2,0.75,0.558,105.94,0,,0,0,0.0,0,0,0,3.0,2,0,5.0
