threshold,f1_cal,f1_test,f1_test_slope,precision_test,recall_test,precision_test_slope,recall_test_slope,fp_per_1e4km2_test,valid_frac,n_void_cells,n_test_cells,arm,res_m
1.3415561994634118e-09,0.3040804918949134,0.3223981900452489,0.3486238532110092,0.2157456472369417,0.6375838926174496,0.2398989898989899,0.6375838926174496,6682793097.887438,0.37868702290076334,871,6201,baseline,0.5
0.03539515033364329,0.23076923076923078,0.261437908496732,0.27586206896551724,0.19607843137254902,0.39215686274509803,0.2127659574468085,0.39215686274509803,989740494.8702475,0.4016969696969697,211,1657,baseline,1.0
0.03428837098181272,0.30985915492957744,0.22535211267605634,0.25396825396825395,0.1702127659574468,0.3333333333333333,0.20512820512820512,0.3333333333333333,236077481.84019372,0.40371456500488756,53,413,baseline,2.0
0.0,0.08571428571428572,0.13888888888888887,0.15384615384615385,0.07462686567164178,1.0,0.08333333333333333,1.0,370149253.73134327,0.4123076923076923,8,67,baseline,5.0
0.0,0.128,0.13447653429602888,0.10675345809601303,0.07208514755684567,1.0,0.057564057564057566,0.7337807606263982,37116594097.72617,0.3006106870229008,871,6201,i45_az0,0.5
0.0,0.12024957458876913,0.11597498578737919,0.11217335882727851,0.06155703077851539,1.0,0.05998636673483299,0.8627450980392157,9384429692.214848,0.3301818181818182,211,1657,i45_az0,1.0
0.0,0.13122171945701355,0.10983981693363845,0.13521126760563382,0.05811138014527845,1.0,0.07250755287009064,1.0,2354721549.636804,0.31915933528836754,53,413,i45_az0,2.0
0.0,0.08571428571428572,0.13888888888888887,0.16666666666666669,0.07462686567164178,1.0,0.09090909090909091,1.0,370149253.73134327,0.30153846153846153,8,67,i45_az0,5.0
0.0,0.128,0.13447653429602888,0.11577714572528025,0.07208514755684567,1.0,0.06256781193490055,0.7740492170022372,37116594097.72617,0.29331297709923665,871,6201,i45_az90,0.5
0.0,0.12024957458876913,0.11597498578737919,0.12196721311475409,0.06155703077851539,1.0,0.06535488404778636,0.9117647058823529,9384429692.214848,0.32181818181818184,211,1657,i45_az90,1.0
0.0,0.13122171945701355,0.10983981693363845,0.14243323442136496,0.05811138014527845,1.0,0.07667731629392971,1.0,2354721549.636804,0.3142717497556207,53,413,i45_az90,2.0
0.0,0.08571428571428572,0.13888888888888887,0.17543859649122806,0.07462686567164178,1.0,0.09615384615384616,1.0,370149253.73134327,0.29846153846153844,8,67,i45_az90,5.0
0.0,0.128,0.13447653429602888,0.12183392112856685,0.07208514755684567,1.0,0.06561906406492833,0.8501118568232662,37116594097.72617,0.3031145038167939,871,6201,i45_az180,0.5
0.0,0.12024957458876913,0.11597498578737919,0.12359550561797754,0.06155703077851539,1.0,0.066,0.9705882352941176,9384429692.214848,0.3321212121212121,211,1657,i45_az180,1.0
0.0,0.13122171945701355,0.10983981693363845,0.1295774647887324,0.05811138014527845,1.0,0.06948640483383686,0.9583333333333334,2354721549.636804,0.3225806451612903,53,413,i45_az180,2.0
0.0,0.08571428571428572,0.13888888888888887,0.1724137931034483,0.07462686567164178,1.0,0.09433962264150944,1.0,370149253.73134327,0.31076923076923074,8,67,i45_az180,5.0
0.0,0.128,0.13447653429602888,0.11571906354515049,0.07208514755684567,1.0,0.06253388758358937,0.7740492170022372,37116594097.72617,0.29203053435114507,871,6201,i45_az270,0.5
0.0,0.12024957458876913,0.11597498578737919,0.11811023622047244,0.06155703077851539,1.0,0.06329113924050633,0.8823529411764706,9384429692.214848,0.32133333333333336,211,1657,i45_az270,1.0
0.0,0.13122171945701355,0.10983981693363845,0.132183908045977,0.05811138014527845,1.0,0.07098765432098765,0.9583333333333334,2354721549.636804,0.31085043988269795,53,413,i45_az270,2.0
0.0,0.08571428571428572,0.13888888888888887,0.17543859649122806,0.07462686567164178,1.0,0.09615384615384616,1.0,370149253.73134327,0.2953846153846154,8,67,i45_az270,5.0
0.0,0.128,0.13447653429602888,0.08985925658607001,0.07208514755684567,1.0,0.04887144259077527,0.5570469798657718,37116594097.72617,0.25722137404580153,871,6201,i65_az0,0.5
0.0,0.12024957458876913,0.11597498578737919,0.1075418994413408,0.06155703077851539,1.0,0.05789473684210526,0.7549019607843137,9384429692.214848,0.28569696969696967,211,1657,i65_az0,1.0
0.0,0.13122171945701355,0.10983981693363845,0.1377245508982036,0.05811138014527845,1.0,0.07419354838709677,0.9583333333333334,2354721549.636804,0.2727272727272727,53,413,i65_az0,2.0
0.0,0.08571428571428572,0.13888888888888887,0.17857142857142855,0.07462686567164178,1.0,0.09803921568627451,1.0,370149253.73134327,0.2553846153846154,8,67,i65_az0,5.0
0.0,0.128,0.13447653429602888,0.10268857356235997,0.07208514755684567,1.0,0.05601955591770218,0.6152125279642058,37116594097.72617,0.24925190839694655,871,6201,i65_az90,0.5
0.0,0.12024957458876913,0.11597498578737919,0.11261582323592302,0.06155703077851539,1.0,0.06072252113758647,0.7745098039215687,9384429692.214848,0.2795151515151515,211,1657,i65_az90,1.0
0.0,0.13122171945701355,0.10983981693363845,0.14482758620689654,0.05811138014527845,1.0,0.07894736842105263,0.875,2354721549.636804,0.26392961876832843,53,413,i65_az90,2.0
0.0,0.08571428571428572,0.13888888888888887,0.17543859649122806,0.07462686567164178,1.0,0.09615384615384616,1.0,370149253.73134327,0.24923076923076923,8,67,i65_az90,5.0
