dtm,res_m,row,col,x_m,y_m,depth_m,frangi,score
FECNDITATS2,2.0,4960,154,1474034.2312476998,-57247.60174687025,16.953351974487305,0.5596996545791626,9.488784790039062
FECNDITATS2,2.0,4953,982,1483751.7417117609,-57165.480546870225,11.907322883605957,0.3783029019832611,4.504574775695801
FECNDITATS2,2.0,3727,98,1473377.0083177632,-42782.538946865905,4.870840549468994,0.7097204923629761,3.456935405731201
FECNDITATS2,2.0,3723,98,1473377.0083177632,-42735.612546865894,4.766823768615723,0.7070294618606567,3.3702847957611084
FECNDITATS2,2.0,3628,156,1474057.7034951975,-41621.11054686556,56.240901947021484,0.05816365033388138,3.2711760997772217
FECNDITATS2,2.0,2847,73,1473083.6052240415,-32458.73094686281,14.927268028259277,0.21834251284599304,3.2592573165893555
FECNDITATS2,2.0,3714,98,1473377.0083177632,-42630.028146865865,4.611005783081055,0.7020683288574219,3.23724102973938
FECNDITATS2,2.0,3720,99,1473388.744441512,-42700.41774686588,5.068521499633789,0.6281689405441284,3.1838877201080322
FECNDITATS2,2.0,4830,1089,1485007.5069528895,-55722.49374686979,7.616237640380859,0.4000377357006073,3.0467824935913086
FECNDITATS2,2.0,3620,158,1474081.175742695,-41527.25774686553,51.84619140625,0.05704871937632561,2.957758903503418
FECNDITATS2,2.0,4930,153,1474022.4951239508,-56895.65374687014,8.449827194213867,0.3263563811779022,2.757655143737793
FECNDITATS2,2.0,4957,784,1481427.9892094855,-57212.40694687024,5.205219268798828,0.4796668589115143,2.4967710971832275
FECNDITATS2,2.0,4955,815,1481791.8090457004,-57188.94374687023,5.858168125152588,0.42565634846687317,2.4935665130615234
FECNDITATS2,2.0,4018,116,1473588.258545243,-46196.434546866934,14.448318481445312,0.16985078155994415,2.4540581703186035
FECNDITATS2,2.0,3591,901,1482801.1156881028,-41187.04134686543,60.60846710205078,0.040261346846818924,2.440178632736206
FECNDITATS2,2.0,3862,648,1479831.8763796396,-44366.30494686638,44.21040725708008,0.05495572090148926,2.429614782333374
FECNDITATS2,2.0,3598,894,1482718.9628218606,-41269.16254686545,50.17332077026367,0.042371273040771484,2.1259074211120605
FECNDITATS2,2.0,4670,1081,1484913.6179628987,-53845.437746869226,7.858985424041748,0.2688131630420685,2.1125986576080322
FECNDITATS2,2.0,2362,64,1472977.9801103019,-26768.904946861105,11.903788566589355,0.16248375177383423,1.93417227268219
FECNDITATS2,2.0,2362,792,1481521.8781994763,-26768.904946861105,44.75163650512695,0.03965979814529419,1.7748408317565918
FECNDITATS2,2.0,3971,1073,1484819.7289729076,-45645.04934686676,4.558935642242432,0.3621167838573456,1.6508671045303345
FECNDITATS2,2.0,2352,790,1481498.4059519786,-26651.58894686107,42.810855865478516,0.03639400005340576,1.558058261871338
FECNDITATS2,2.0,3728,1069,1484772.7844779124,-42794.27054686591,4.577237129211426,0.3402986526489258,1.5576276779174805
FECNDITATS2,2.0,4637,137,1473834.717143969,-53458.29494686911,3.9020771980285645,0.3420076370239258,1.3345402479171753
FECNDITATS2,2.0,2358,784,1481427.9892094855,-26721.97854686109,41.50773239135742,0.031188061460852623,1.2945456504821777
FECNDITATS2,2.0,4573,1082,1484925.3540866475,-52707.472546868885,2.852627754211426,0.4537127614021301,1.2942736148834229
FECNDITATS2,2.0,3143,82,1473189.2303377814,-35931.284546863855,8.580130577087402,0.13987980782985687,1.2001869678497314
FECNDITATS2,2.0,964,413,1477073.8872986562,-10368.128146856183,42.40682601928711,0.027303382754325867,1.1578497886657715
FECNDITATS2,2.0,4039,115,1473576.522421494,-46442.798146867004,4.489818572998047,0.2564639747142792,1.1514767408370972
FECNDITATS2,2.0,1917,596,1479221.5979446985,-21548.34294685954,33.34555435180664,0.034430164843797684,1.1480929851531982
FECNDITATS2,2.0,4580,1080,1484901.8818391499,-52789.59374686891,3.2351932525634766,0.3383432626724243,1.094605803489685
FECNDITATS2,2.0,3591,95,1473341.7999465168,-41187.04134686543,4.692198753356934,0.22879508137702942,1.0735520124435425
FECNDITATS2,2.0,4986,427,1477238.1930311401,-57552.623346870336,3.348478317260742,0.3173901438713074,1.0627740621566772
FECNDITATS2,2.0,1920,586,1479104.2367072098,-21583.537746859547,33.789737701416016,0.03081689588725567,1.041294813156128
FECNDITATS2,2.0,4852,146,1473940.3422577088,-55980.588946869866,3.369875192642212,0.29628729820251465,0.9984512329101562
FECNDITATS2,2.0,3527,94,1473330.0638227677,-40436.21894686521,5.1329569816589355,0.18873435258865356,0.9687653183937073
FECNDITATS2,2.0,4865,150,1473987.2867527043,-56133.09974686991,2.6391944885253906,0.3604692816734314,0.9513485431671143
FECNDITATS2,4.0,4960,154,1474034.2312476998,-57247.60174687025,16.784717559814453,0.5596996545791626,9.394400596618652
FECNDITATS2,4.0,4953,982,1483751.7417117609,-57165.480546870225,11.636390686035156,0.3783029019832611,4.402080535888672
FECNDITATS2,4.0,3727,98,1473377.0083177632,-42782.538946865905,4.898097991943359,0.7097204923629761,3.476280450820923
FECNDITATS2,4.0,3723,98,1473377.0083177632,-42735.612546865894,4.76857852935791,0.7070294618606567,3.371525526046753
FECNDITATS2,4.0,2847,73,1473083.6052240415,-32458.73094686281,15.434213638305664,0.21834251284599304,3.3699450492858887
