dtm,res_m,row,col,x_m,y_m,depth_m,frangi,score
INGENIIPIT,2.0,2354,729,-342111.61047355644,-1090138.0890003038,87.65872955322266,0.2205660194158554,19.334537506103516
INGENIIPIT,2.0,1422,1135,-339820.6520804424,-1084879.7450003023,42.59862518310547,0.453246146440506,19.307662963867188
INGENIIPIT,2.0,233,270,-344701.6348638011,-1078171.4070003002,47.129432678222656,0.40734392404556274,19.197887420654297
INGENIIPIT,2.0,211,267,-344718.56312778965,-1078047.2830003002,43.924686431884766,0.43419140577316284,19.07172203063965
INGENIIPIT,2.0,219,298,-344543.63773324154,-1078092.4190003003,45.30802536010742,0.4166332185268402,18.876829147338867
INGENIIPIT,2.0,216,297,-344549.2804879044,-1078075.4930003004,45.89316940307617,0.40916723012924194,18.77798080444336
INGENIIPIT,2.0,4579,460,-343629.51147786103,-1102691.5390003077,39.599613189697266,0.4634016752243042,18.350526809692383
INGENIIPIT,2.0,4596,446,-343708.51004314085,-1102787.4530003078,36.66899490356445,0.4578263759613037,16.78803253173828
INGENIIPIT,2.0,146,456,-343652.08249651245,-1077680.5530003002,34.143707275390625,0.4350760281085968,14.855108261108398
INGENIIPIT,2.0,149,454,-343663.3680058381,-1077697.4790003002,32.6753044128418,0.4539403021335602,14.832637786865234
INGENIIPIT,2.0,1451,1122,-339894.0078910594,-1085043.3630003023,40.258544921875,0.36262136697769165,14.59860897064209
INGENIIPIT,2.0,1433,1104,-339995.5774749905,-1084941.8070003022,45.537506103515625,0.28337740898132324,12.904300689697266
INGENIIPIT,2.0,1430,1103,-340001.22022965335,-1084924.8810003023,42.80192565917969,0.29810577630996704,12.759501457214355
INGENIIPIT,2.0,2273,730,-342105.9677188936,-1089681.0870003037,44.24456787109375,0.2588515281677246,11.452774047851562
INGENIIPIT,2.0,2345,738,-342060.8256815909,-1090087.3110003038,60.99558639526367,0.18224743008613586,11.116289138793945
INGENIIPIT,2.0,4602,467,-343590.01219522115,-1102821.3050003077,32.18517303466797,0.34531959891319275,11.114171028137207
INGENIIPIT,2.0,1162,887,-341220.05523682735,-1083412.825000302,27.87531852722168,0.3879452347755432,10.81409740447998
INGENIIPIT,2.0,1386,662,-342489.6750359669,-1084676.6330003021,37.81214141845703,0.2834503948688507,10.717865943908691
INGENIIPIT,2.0,1443,1104,-339995.5774749905,-1084998.2270003024,41.45195388793945,0.2579611837863922,10.692995071411133
INGENIIPIT,2.0,1108,538,-343189.3766141593,-1083108.1570003019,53.03098678588867,0.19795942306518555,10.497983932495117
INGENIIPIT,2.0,1362,687,-342348.60616939585,-1084541.2250003023,35.98546600341797,0.28618645668029785,10.298553466796875
INGENIIPIT,2.0,1415,1114,-339939.1499283621,-1084840.2510003024,39.3968620300293,0.24996142089366913,9.847695350646973
INGENIIPIT,2.0,2433,1087,-340091.50430425885,-1090583.807000304,31.2313289642334,0.3097165524959564,9.672859191894531
INGENIIPIT,2.0,1149,879,-341265.19727413007,-1083339.4790003018,27.082782745361328,0.35284605622291565,9.556053161621094
INGENIIPIT,2.0,601,842,-341473.9791966553,-1080247.663000301,28.688817977905273,0.33012476563453674,9.4708890914917
INGENIIPIT,2.0,325,1031,-340407.498565378,-1078690.4710003005,29.801664352416992,0.3110549747943878,9.2699556350708
INGENIIPIT,2.0,1371,693,-342314.74964141875,-1084592.0030003022,39.87179946899414,0.22866053879261017,9.117107391357422
INGENIIPIT,2.0,1380,696,-342297.8213774302,-1084642.7810003022,35.221519470214844,0.2569405138492584,9.049835205078125
INGENIIPIT,2.0,1383,695,-342303.46413209307,-1084659.7070003022,35.37602996826172,0.2556345760822296,9.043336868286133
INGENIIPIT,2.0,1386,693,-342314.74964141875,-1084676.6330003021,36.98147964477539,0.24447105824947357,9.040901184082031
INGENIIPIT,2.0,116,475,-343544.8701579184,-1077511.2930003002,33.873695373535156,0.2635038495063782,8.925848960876465
