dtm,res_m,row,col,x_m,y_m,depth_m,frangi,score
PRCLRMPIT01,4.0,2674,1025,3341927.2279791743,1070378.1415000006,236.37562561035156,0.03423655405640602,8.092686653137207
PRCLRMPIT01,4.0,3366,965,3341157.1317541557,1061497.7055000009,71.1253890991211,0.08026609569787979,5.708957195281982
PRCLRMPIT01,4.0,1625,708,3337858.55292366,1083839.9585000004,67.9402084350586,0.04719170182943344,3.20621395111084
PRCLRMPIT01,4.0,1622,685,3337563.349370736,1083878.4575000005,69.69452667236328,0.0454036183655262,3.16438364982605
PRCLRMPIT01,4.0,4653,533,3335612.4389340226,1044981.6345000012,100.58325958251953,0.030612915754318237,3.0791468620300293
PRCLRMPIT01,4.0,278,994,3341529.3449295815,1101126.0095000002,129.03372192382812,0.023451801389455795,3.0260732173919678
PRCLRMPIT01,4.0,1623,694,3337678.863804489,1083865.6245000004,98.8438720703125,0.03030308522284031,2.995274305343628
PRCLRMPIT01,4.0,291,988,3341452.3353070794,1100959.1805,122.31025695800781,0.023948416113853455,2.9291369915008545
PRCLRMPIT01,4.0,1632,691,3337640.358993238,1083750.1275000004,95.85723114013672,0.029762141406536102,2.8529164791107178
PRCLRMPIT01,4.0,1641,695,3337691.6987415724,1083634.6305000004,66.79100036621094,0.04235991835594177,2.829261302947998
PRCLRMPIT01,4.0,321,625,3336793.2531457176,1100574.1905,59.378440856933594,0.04489096254110336,2.665555477142334
PRCLRMPIT01,4.0,3056,756,3338474.6299036746,1065475.9355000008,75.37464904785156,0.03535794839262962,2.665092945098877
PRCLRMPIT01,4.0,1558,769,3338641.484085762,1084699.7695000004,44.04349899291992,0.05993067845702171,2.639556884765625
PRCLRMPIT01,4.0,3047,771,3338667.1539599295,1065591.4325000008,74.92410278320312,0.03401613608002663,2.548628568649292
PRCLRMPIT01,4.0,3040,756,3338474.6299036746,1065681.2635000008,77.77330017089844,0.03275246545672417,2.547267436981201
PRCLRMPIT01,4.0,4652,545,3335766.4581790264,1044994.4675000012,84.90660858154297,0.02824581228196621,2.3982560634613037
PRCLRMPIT01,4.0,4666,536,3335650.9437452736,1044814.8055000012,84.67626190185547,0.02684803679585457,2.2733914852142334
PRCLRMPIT01,4.0,3949,112,3330208.9304218097,1054016.0665000011,9.065564155578613,0.2479066252708435,2.247413396835327
PRCLRMPIT01,4.0,292,1001,3341619.1894891667,1100946.3475000001,130.4696807861328,0.017079249024391174,2.2283241748809814
PRCLRMPIT01,4.0,4665,546,3335779.29311611,1044827.6385000012,71.39270782470703,0.03105951100587845,2.2174224853515625
PRCLRMPIT01,4.0,315,617,3336690.5736490483,1100651.1885000002,55.45404815673828,0.039639897644519806,2.198192834854126
PRCLRMPIT01,4.0,1616,699,3337743.038489907,1083955.4555000004,62.328880310058594,0.034840650856494904,2.1715786457061768
PRCLRMPIT01,4.0,389,648,3337088.456698641,1099701.5465000002,50.55195999145508,0.03886869549751282,1.9648886919021606
PRCLRMPIT01,4.0,311,627,3336818.923019885,1100702.5205,68.16919708251953,0.0278716329485178,1.8999868631362915
PRCLRMPIT01,4.0,1496,1147,3343493.0903033786,1085495.4155000004,51.48263168334961,0.03573673218488693,1.8398209810256958
PRCLRMPIT01,4.0,2607,1078,3342607.4796446073,1071237.9525000006,30.359878540039062,0.060392316430807114,1.8335033655166626
PRCLRMPIT01,4.0,2613,520,3335445.584751935,1071160.9545000007,45.61508560180664,0.03900432586669922,1.7791856527328491
PRCLRMPIT01,4.0,2418,675,3337434.9999999,1073663.3895000005,46.53928756713867,0.03724024072289467,1.7331342697143555
PRCLRMPIT01,4.0,2610,525,3335509.7594373534,1071199.4535000008,46.24272537231445,0.03729144111275673,1.724457859992981
PRCLRMPIT01,4.0,2571,984,3341400.9955587448,1071699.9405000007,67.81230163574219,0.024557368829846382,1.665291666984558
PRCLRMPIT01,4.0,2193,1102,3342915.5181346145,1076550.8145000006,33.975284576416016,0.04771721363067627,1.6212059259414673
PRCLRMPIT01,4.0,1634,700,3337755.8734269906,1083724.4615000004,95.49125671386719,0.01690017431974411,1.613818883895874
PRCLRMPIT01,4.0,1372,657,3337203.9711323944,1087086.7075000003,40.297515869140625,0.03963036462664604,1.5970052480697632
PRCLRMPIT01,4.0,122,1093,3342800.0037008617,1103127.9575,70.26914978027344,0.022405749186873436,1.5744329690933228
PRCLRMPIT01,4.0,4487,917,3340541.054774141,1047111.9125000011,44.29076385498047,0.03522460162639618,1.5601245164871216
PRCLRMPIT01,4.0,394,641,3336998.612139056,1099637.3815000001,60.64558029174805,0.025464657694101334,1.5443189144134521
PRCLRMPIT01,4.0,4496,923,3340618.0643966426,1046996.4155000012,41.28772735595703,0.03716586157679558,1.5344939231872559
PRCLRMPIT01,4.0,387,640,3336985.7772019724,1099727.2125000001,67.681884765625,0.02264699712395668,1.5327914953231812
PRCLRMPIT01,4.0,4355,956,3341041.617320403,1048805.868500001,40.72279739379883,0.03721211478114128,1.5153814554214478
PRCLRMPIT01,4.0,4353,950,3340964.6076979013,1048831.5345000012,42.601192474365234,0.035470250993967056,1.5110750198364258
PRCLRMPIT01,4.0,3723,899,3340310.0259066354,1056916.324500001,41.32304000854492,0.035673800855875015,1.4741499423980713
PRCLRMPIT01,4.0,2140,621,3336741.913397383,1077230.9635000005,39.490604400634766,0.036451347172260284,1.439485788345337
PRCLRMPIT01,4.0,2148,622,3336754.7483344665,1077128.2995000007,44.01185607910156,0.032403457909822464,1.4261363744735718
PRCLRMPIT01,4.0,1812,946,3340913.2679495667,1081440.1875000005,32.17578887939453,0.044194381684064865,1.4219890832901
PRCLRMPIT01,4.0,100,614,3336652.0688377977,1103410.2835000001,39.95734786987305,0.03551940247416496,1.41926109790802
PRCLRMPIT01,4.0,4489,925,3340643.73427081,1047086.2465000012,41.714683532714844,0.03361862152814865,1.4023901224136353
PRCLRMPIT01,4.0,2463,863,3339847.9681716245,1073085.9045000006,74.54417419433594,0.018768426030874252,1.3990768194198608
PRCLRMPIT01,4.0,2463,868,3339912.1428570426,1073085.9045000006,63.998409271240234,0.021805353462696075,1.3955079317092896
PRCLRMPIT01,4.0,1676,413,3334072.246483986,1083185.4755000004,38.10264205932617,0.036158837378025055,1.3777472972869873
PRCLRMPIT01,4.0,1499,1139,3343390.4108067094,1085456.9165000003,44.522335052490234,0.030822258442640305,1.3722789287567139
PRCLRMPIT01,4.0,1292,657,3337203.9711323944,1088113.3475000004,57.77275466918945,0.023496586829423904,1.3574625253677368
PRCLRMPIT01,4.0,3156,703,3337794.3782382417,1064192.6355000008,41.6695671081543,0.032414406538009644,1.3506942987442017
PRCLRMPIT01,4.0,1373,649,3337101.291635725,1087073.8745000004,44.417625427246094,0.03018786944448948,1.3408734798431396
PRCLRMPIT01,4.0,4005,476,3334880.847520255,1053297.418500001,89.02326202392578,0.0150259705260396,1.3376609086990356
PRCLRMPIT01,4.0,278,455,3334611.3138414985,1101126.0095000002,40.43028259277344,0.032838981598615646,1.327689290046692
PRCLRMPIT01,4.0,2584,1090,3342761.498889611,1071533.1115000006,41.526206970214844,0.031960804015398026,1.3272109031677246
PRCLRMPIT01,4.0,551,609,3336587.8941523796,1097622.6005000002,78.53060913085938,0.01681559719145298,1.320539116859436
PRCLRMPIT01,4.0,4495,916,3340528.2198370574,1047009.2485000012,39.69051742553711,0.0332634262740612,1.3202426433563232
PRCLRMPIT01,4.0,402,634,3336908.7675794703,1099534.7175,45.94981384277344,0.028238840401172638,1.2975695133209229
PRCLRMPIT01,4.0,4565,221,3331607.9385639266,1046110.9385000012,36.50663375854492,0.035349100828170776,1.290476679801941
PRCLRMPIT01,4.0,3725,907,3340412.7054033047,1056890.658500001,40.0810661315918,0.03212464973330498,1.2875902652740479
PRCLRMPIT01,4.0,555,596,3336421.0399702922,1097571.2685000002,81.66830444335938,0.015733668580651283,1.2849420309066772
PRCLRMPIT01,4.0,128,1086,3342710.1591412765,1103050.9595,67.326416015625,0.019068360328674316,1.2838044166564941
PRCLRMPIT01,4.0,286,1077,3342594.6447075238,1101023.3455,40.12152862548828,0.03175414353609085,1.2740247249603271
PRCLRMPIT01,4.0,2463,851,3339693.9489266207,1073085.9045000006,52.5535888671875,0.02421160228550434,1.2724065780639648
PRCLRMPIT01,4.0,2028,328,3332981.276831876,1078668.2595000006,39.54526138305664,0.0318133607506752,1.2580676078796387
PRCLRMPIT01,4.0,1972,939,3340823.423389981,1079386.9075000004,32.8232307434082,0.037954334169626236,1.2457839250564575
PRCLRMPIT01,4.0,4903,818,3339270.3960028603,1041773.3845000012,77.62223815917969,0.0160320196300745,1.244441270828247
PRCLRMPIT01,4.0,621,798,3339013.6972611877,1096724.2905000001,49.85954284667969,0.02477523498237133,1.2352819442749023
PRCLRMPIT01,4.0,3731,902,3340348.5307178865,1056813.660500001,37.66924285888672,0.032558273524045944,1.2264455556869507
PRCLRMPIT01,4.0,107,643,3337024.282013223,1103320.4525000001,37.04533004760742,0.03286587819457054,1.2175272703170776
PRCLRMPIT01,4.0,3157,711,3337897.057734911,1064179.802500001,39.12921142578125,0.031105568632483482,1.2171363830566406
PRCLRMPIT01,4.0,102,606,3336549.3893411285,1103384.6175,36.056087493896484,0.033311858773231506,1.2010953426361084
PRCLRMPIT01,4.0,141,381,3333661.528497309,1102884.1305,43.802978515625,0.026963425800204277,1.181078314781189
PRCLRMPIT01,4.0,4572,227,3331684.9481864283,1046021.1075000012,32.468624114990234,0.036160726100206375,1.1740890741348267
PRCLRMPIT01,4.0,2453,855,3339745.2886749553,1073214.2345000007,50.82396697998047,0.02308182418346405,1.1731098890304565
PRCLRMPIT01,4.0,285,1088,3342735.8290154436,1101036.1785000002,37.857120513916016,0.03082444705069065,1.1669248342514038
PRCLRMPIT01,4.0,2649,347,3333225.1406364655,1070698.9665000006,42.73212814331055,0.027094222605228424,1.1577937602996826
PRCLRMPIT01,4.0,2878,537,3335663.778682357,1067760.2095000008,37.02985382080078,0.031140562146902084,1.1531304121017456
PRCLRMPIT01,4.0,2649,337,3333096.7912656288,1070698.9665000006,38.77573013305664,0.02955593913793564,1.1460530757904053
PRCLRMPIT01,4.0,2317,523,3335484.0895631863,1074959.5225000007,42.62408447265625,0.02659452334046364,1.133567214012146
PRCLRMPIT01,4.0,94,607,3336562.224278212,1103487.2815,33.333839416503906,0.03382381796836853,1.127477765083313
PRCLRMPIT01,4.0,2872,540,3335702.2834936082,1067837.2075000007,35.41582489013672,0.03182436525821686,1.1270861625671387
PRCLRMPIT01,4.0,2877,543,3335740.788304859,1067773.0425000007,40.3303337097168,0.027498548850417137,1.1090255975723267
PRCLRMPIT01,4.0,2564,973,3341259.811250825,1071789.7715000007,48.31906509399414,0.022945867851376534,1.1087229251861572
PRCLRMPIT01,4.0,121,1086,3342710.1591412765,1103140.7905000001,66.3836669921875,0.016675610095262527,1.1069881916046143
PRCLRMPIT01,4.0,2642,1039,3342106.9170983452,1070788.7975000006,101.2361068725586,0.010729759931564331,1.0862390995025635
PRCLRMPIT01,4.0,4565,229,3331710.618060596,1046110.9385000012,37.54819107055664,0.028729015961289406,1.078722596168518
PRCLRMPIT01,4.0,2472,863,3339847.9681716245,1072970.4075000007,48.66442108154297,0.022142909467220306,1.0775718688964844
PRCLRMPIT01,4.0,1293,675,3337434.9999999,1088100.5145000003,55.51499938964844,0.019407935440540314,1.077431559562683
PRCLRMPIT01,4.0,3163,707,3337845.7179865763,1064102.8045000008,36.50368881225586,0.029441991820931435,1.0747413635253906
PRCLRMPIT01,4.0,1679,405,3333969.5669873166,1083146.9765000003,40.2970085144043,0.026626721024513245,1.0729771852493286
PRCLRMPIT01,4.0,1481,925,3340643.73427081,1085687.9105000005,61.39841079711914,0.017377860844135284,1.066973090171814
PRCLRMPIT01,4.0,2573,974,3341272.6461879085,1071674.2745000008,47.37926483154297,0.02249603345990181,1.0658454895019531
PRCLRMPIT01,4.0,2566,644,3337037.116950307,1071764.1055000008,42.42127990722656,0.02495320700109005,1.058547019958496
PRCLRMPIT01,4.0,284,458,3334649.8186527495,1101049.0115,41.528865814208984,0.025448892265558243,1.0568636655807495
PRCLRMPIT01,4.0,4723,953,3341003.112509152,1044083.3245000013,28.513702392578125,0.036701466888189316,1.046494722366333
