dtm,res_m,row,col,x_m,y_m,depth_m,frangi,score
SWFECUNPIT1,2.0,4084,1233,-4122427.2014858564,-218958.01559992667,79.12857055664062,0.020199457183480263,1.5983542203903198
SWFECUNPIT1,2.0,4094,1233,-4122427.2014858564,-219055.86359992664,73.00090789794922,0.021304581314325333,1.5552537441253662
SWFECUNPIT1,2.0,2479,232,-4132225.2333555417,-203253.4115999319,28.37665367126465,0.03834163025021553,1.0880072116851807
SWFECUNPIT1,2.0,4094,1224,-4122515.295678491,-219055.86359992664,58.37828826904297,0.0186187531799078,1.0869309902191162
SWFECUNPIT1,2.0,3165,944,-4125256.0038937875,-209965.78439992966,64.36795043945312,0.014724450185894966,0.9477826952934265
SWFECUNPIT1,2.0,3176,946,-4125236.4274065355,-210073.41719992962,58.211585998535156,0.016168750822544098,0.9412086009979248
SWFECUNPIT1,2.0,3169,957,-4125128.7567266487,-210004.92359992964,55.184993743896484,0.0161345936357975,0.8903874754905701
SWFECUNPIT1,2.0,3277,934,-4125353.886330048,-211061.6819999293,55.109439849853516,0.014913315884768963,0.8218644857406616
SWFECUNPIT1,2.0,2376,549,-4129122.360126081,-202245.57719993225,70.48568725585938,0.011476391926407814,0.8089213967323303
SWFECUNPIT1,2.0,2387,556,-4129053.842420698,-202353.2099999322,70.76779174804688,0.011266673915088177,0.797317624092102
SWFECUNPIT1,2.0,1563,315,-4131412.809134579,-194290.5347999349,54.84827423095703,0.01336971577256918,0.733305811882019
SWFECUNPIT1,2.0,1560,306,-4131500.903327213,-194261.1803999349,57.673458099365234,0.012256310321390629,0.7068638205528259
SWFECUNPIT1,2.0,3657,1267,-4122094.40120257,-214779.90599992807,15.265349388122559,0.042836371809244156,0.6539121866226196
SWFECUNPIT1,2.0,1725,329,-4131275.7737238137,-195875.67239993435,56.93588638305664,0.011419229209423065,0.6501639485359192
SWFECUNPIT1,2.0,2930,1207,-4122681.695820134,-207666.35639993043,10.09097957611084,0.06426452845335007,0.6484920382499695
SWFECUNPIT1,2.0,1714,333,-4131236.6207493097,-195768.0395999344,60.35993957519531,0.01072664838284254,0.647459864616394
SWFECUNPIT1,2.0,3764,1210,-4122652.331089256,-215826.8795999277,43.602516174316406,0.01365592796355486,0.5954328179359436
SWFECUNPIT1,2.0,1715,323,-4131334.5031855702,-195777.82439993438,55.16655731201172,0.010493612848222256,0.5788965225219727
SWFECUNPIT1,2.0,3753,1206,-4122691.48406376,-215719.24679992773,43.90023422241211,0.012521889060735703,0.5497138500213623
SWFECUNPIT1,2.0,2925,1204,-4122711.060551012,-207617.43239993043,12.438824653625488,0.043769173324108124,0.544437050819397
