site,product_id,incidence_deg,emission_deg,resolution_m,acquisition_time,size_bytes,sha256,local_path,pds_url
TRANQPIT1,M1534441049LE,26.77,6.83,0.6541,(DOY:146) 2026-05-26T13:23:02,264467400,1d269bda08c66879ae8ba3cee35dca9a33139746a7f7b9a5088df59aa42381e6,/home/frostflux/lunarvoid/data/edr/multillum/TRANQPIT1/M1534441049LE.IMG,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0067C/DATA/ESM6/2026146/NAC/M1534441049LE.IMG
TRANQPIT1,M1486462961LE,47.47,43.28,1.0856,(DOY:322) 2024-11-17T06:08:14,264467400,da25a5f96e09a78901e5aa6dd3f0ab3bc26d59dc240ee0985bdd37f36215553d,/home/frostflux/lunarvoid/data/edr/multillum/TRANQPIT1/M1486462961LE.IMG,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0061C/DATA/ESM5/2024322/NAC/M1486462961LE.IMG
TRANQPIT1,M1335130357LE,68.16,1.72,0.8204,(DOY:031) 2020-01-31T17:18:09,238539720,cd8932fad34859ef7b47f37bd8c0aef85f697ced0fa17f55f69ef14aa5e1a56b,/home/frostflux/lunarvoid/data/edr/multillum/TRANQPIT1/M1335130357LE.IMG,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0042B/DATA/ESM4/2020031/NAC/M1335130357LE.IMG
TRANQPIT1,M1410264499LE,93.20,1.70,0.7523,(DOY:170) 2022-06-19T07:53:51,264467400,1ba9895713b6bf433aa0bfc906665b69b4357f3e8b78ed17572f539fceb3bdb7,/home/frostflux/lunarvoid/data/edr/multillum/TRANQPIT1/M1410264499LE.IMG,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0052A/DATA/ESM4/2022170/NAC/M1410264499LE.IMG
FECUNPIT,M1391387574LE,32.09,1.72,0.8579,(DOY:316) 2021-11-12T20:18:26,222983112,f6ec04d3c28c8d77e8f456db544258254c770a6ed30cb618091fb9ff98b17099,/home/frostflux/lunarvoid/data/edr/multillum/FECUNPIT/M1391387574LE.IMG,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0049B/DATA/ESM4/2021316/NAC/M1391387574LE.IMG
FECUNPIT,M1514447745LE,51.33,1.72,0.7983,(DOY:280) 2025-10-07T03:41:18,264467400,448f5ac3e697b0c30a4d9943e8aa7a32e70b8fa3ee8cf405847f5d3a9e493f5f,/home/frostflux/lunarvoid/data/edr/multillum/FECUNPIT/M1514447745LE.IMG,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0065A/DATA/ESM6/2025280/NAC/M1514447745LE.IMG
FECUNPIT,M1350283515LE,72.62,37.75,1.2121,(DOY:207) 2020-07-25T02:30:48,264467400,c15f8afeae13fa83d6cd3f8f96be9012be6db3d2b903b5126ceda60e6895dc28,/home/frostflux/lunarvoid/data/edr/multillum/FECUNPIT/M1350283515LE.IMG,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0044B/DATA/ESM4/2020207/NAC/M1350283515LE.IMG
FECUNPIT,M1292721337LE,86.61,1.72,1.6078,(DOY:270) 2018-09-27T21:01:10,132236232,dacf67bd844037fedc64d0bac897ef60cfe653eccc5250037eb2091794873dad,/home/frostflux/lunarvoid/data/edr/multillum/FECUNPIT/M1292721337LE.IMG,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0037A/DATA/ESM3/2018270/NAC/M1292721337LE.IMG
FECNDITATS2,M1197457075LE,34.71,1.73,0.9246,(DOY:264) 2015-09-21T06:43:28,264467400,473c4235073c86c4813f00c1764fec73364c82667e2fdc98e959398a5b4eee7a,/home/frostflux/lunarvoid/data/edr/multillum/FECNDITATS2/M1197457075LE.IMG,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0025/DATA/ESM2/2015264/NAC/M1197457075LE.IMG
FECNDITATS2,M1514447745LE,51.33,1.72,0.7983,(DOY:280) 2025-10-07T03:41:18,264467400,448f5ac3e697b0c30a4d9943e8aa7a32e70b8fa3ee8cf405847f5d3a9e493f5f,/home/frostflux/lunarvoid/data/edr/multillum/FECNDITATS2/M1514447745LE.IMG,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0065A/DATA/ESM6/2025280/NAC/M1514447745LE.IMG
FECNDITATS2,M1350283515LE,72.62,37.75,1.2121,(DOY:207) 2020-07-25T02:30:48,264467400,c15f8afeae13fa83d6cd3f8f96be9012be6db3d2b903b5126ceda60e6895dc28,/home/frostflux/lunarvoid/data/edr/multillum/FECNDITATS2/M1350283515LE.IMG,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0044B/DATA/ESM4/2020207/NAC/M1350283515LE.IMG
